Date,LUO09-SB-505K-C
2008/04/02 20:00:00,0
2008/04/05 09:00:00,1.5
2008/04/10 20:55:20,-0.15
2008/04/12 14:55:10, 
2008/04/15 23:55:10, 
2008/04/19 13:55:00, 
2008/04/22 23:55:20, 
2008/04/23 23:55:10, 
2008/04/24 19:30:10, 
2008/04/26 09:00:00, 
2008/04/26 23:00:11, 
2008/04/27 10:00:10, 
2008/04/27 23:30:10, 
2008/04/28 23:00:11, 
2008/04/29 23:00:11, 
2008/04/30 23:00:11, 
2008/05/01 23:30:11, 
2008/05/02 23:00:11, 
2008/05/03 23:01:11, 
2008/05/05 13:00:11, 
2008/05/06 13:00:11, 
2008/05/07 13:00:10, 
2008/05/08 09:00:11, 
2008/05/09 13:00:11, 
2008/05/10 09:00:11, 
2008/05/11 13:00:11, 
2008/05/12 23:00:10, 
2008/05/13 23:00:10, 
2008/05/16 08:00:59, 
2008/05/17 13:00:11, 
2008/05/18 09:00:11, 
2008/05/19 19:00:11, 
2008/05/20 09:00:11, 
2008/05/23 13:00:11, 
2008/05/24 09:00:11, 
2008/05/25 13:00:11, 
2008/05/26 23:00:11, 
2008/05/27 21:00:11, 
2008/05/28 21:00:11, 
2008/05/29 21:00:11, 
2008/05/30 23:00:11, 
2008/05/31 21:00:11, 
2008/06/01 23:00:11, 
2008/06/04 07:00:10, 
2008/06/05 07:00:10, 
2008/06/07 23:00:11, 
2008/06/08 23:00:11, 
2008/06/10 04:00:10, 
2008/06/12 04:00:22, 
2008/06/14 18:11:00, 
2008/06/15 18:11:11, 
2008/06/17 00:11:00, 
2008/06/18 00:11:11, 
2008/06/19 00:11:11, 
2008/06/20 00:11:11, 
2008/06/22 00:11:00, 
2008/06/23 00:11:11, 
2008/06/25 02:11:11, 
2008/06/26 02:11:00, 
2008/06/27 00:11:11, 
2008/06/28 00:11:00, 
2008/06/29 00:11:11, 
2008/06/30 00:11:11, 
2008/07/01 00:11:00, 
2008/07/05 09:11:00, 
2008/07/08 00:11:00, 
2008/07/08 00:11:00, 
2008/07/08 00:12:00, 
2008/07/08 00:12:00, 
2008/07/11 09:11:00, 
2008/07/11 09:22:00, 
2008/07/11 09:22:00, 
2008/07/15 00:11:00, 
2008/07/15 00:11:00, 
2008/07/19 00:11:00, 
2008/07/19 00:12:00, 
2008/07/21 00:11:00, 
2008/07/21 00:11:00, 
2008/07/21 00:12:00, 
2008/07/24 00:11:00, 
2008/07/24 00:11:00, 
2008/07/26 00:11:00, 
2008/07/26 00:11:00, 
2008/07/29 00:11:00, 
2008/08/02 00:11:00, 
